Eraser,Ortho,Ortho,Ortho,SpLiCE,SpLiCE,SpLiCE,LEACE,LEACE,LEACE
Algorithm,XpEnum,XpSatEnum,NaiveEnum,XpEnum,XpSatEnum,NaiveEnum,XpEnum,XpSatEnum,NaiveEnum
Rank,,,,,,,,,
1,0.3000,1.0000,1.0000*,-,-,1.0000*,1.0000*,-,-
2,0.2400,0.9800,1.0000*,-,-,1.0000*,1.0000*,-,-
3,0.2200,0.9800,1.0000*,-,-,1.0000*,1.0000*,-,-
4,0.1600,0.9000,1.0000*,-,-,1.0000*,1.0000*,-,-
5,0.1400,0.9000,0.8000*,-,-,1.0000*,1.0000*,-,-
6,0.1400,0.8200,0.8000*,-,-,1.0000*,1.0000*,-,-
7,0.1200,0.8000,0.8000*,-,-,1.0000*,1.0000*,-,-
8,0.1000,0.7000,0.8000*,-,-,1.0000*,1.0000*,-,-
9,0.1000,0.6800,0.8000*,-,-,1.0000*,1.0000*,-,-
10,0.1000,0.5800,0.8000*,-,-,1.0000*,1.0000*,-,-
